SuiRate,Unemp,Vet,Arrest,Mental,Disable,uxa,uxm,uxd,uxv,vxa,vxm,vxd,axm,axd,mxd,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp15
19.4,0.447213595,9.8,4730,5.27,17.1,2115.320307,2.356815648,7.647352483,4.382693236,46354,51.646,167.58,24927.1,80883,90.117,5,0.698970004,25,2.236067977,0.2,1.609437912,125,1.709975947,0.04,-2.321928095,0.430676558,0.185482298,0.65625952,-0.349485002
18.5,0.506369684,9.5,4743.6,5.45,17,2402.015231,2.759714775,8.60828462,4.810511994,45064.2,51.775,161.5,25852.62,80641.2,92.65,3.9,0.591064607,15.21,1.974841766,0.256410256,1.360976553,59.319,1.574060917,0.06574622,-1.963474124,0.509301339,0.259387854,0.713653515,-0.295532304
10.6,0.292352673,7.3,3157,3.61,10.1,922.957389,1.05539315,2.952761998,2.134174514,23046.1,26.353,73.73,11396.77,31885.7,36.461,11.7,1.068185862,136.89,3.420526275,0.085470085,2.459588842,1601.613,2.270188681,0.007305136,-3.548436625,0.281814248,0.079419271,0.530861798,-0.534092931
10.2,0.310086836,7,3282.43,3.94,10.2,1017.838335,1.221742136,3.162885732,2.170607855,22977.01,27.58,71.4,12932.7742,33480.786,40.188,10.4,1.017033339,108.16,3.224903099,0.096153846,2.341805806,1124.864,2.182785766,0.009245562,-3.378511623,0.295988326,0.087609089,0.544048092,-0.50851667
10.8,0.365148372,6.4,3144,3.77,10.6,1148.026481,1.376609361,3.87057274,2.336949579,20121.6,24.128,67.84,11852.88,33326.4,39.962,7.5,0.875061263,56.25,2.738612788,0.133333333,2.014903021,421.875,1.957433821,0.017777778,-2.906890596,0.344010195,0.118343014,0.586523823,-0.437530632
10.6,0.401609664,6.1,2977,3.53,10.6,1195.591971,1.417682116,4.257062443,2.449818953,18159.7,21.533,64.66,10508.81,31556.2,37.418,6.2,0.792391689,38.44,2.48997992,0.161290323,1.824549292,238.328,1.83709055,0.026014568,-2.632268215,0.379900496,0.144324387,0.616360686,-0.396195845
10.9,0.426401433,5.9,2867.61,3.61,10.9,1222.753012,1.539309172,4.647775617,2.515768453,16918.899,21.299,64.31,10352.0721,31256.949,39.349,5.5,0.740362689,30.25,2.34520788,0.181818182,1.704748092,166.375,1.765174168,0.033057851,-2.459431619,0.406598009,0.165321941,0.637650382,-0.370181345
10.9,0.456435465,5.6,2776,4.14,10.6,1267.06485,1.889642823,4.838215925,2.556038602,15545.6,23.184,59.36,11492.64,29425.6,43.884,4.8,0.681241237,23.04,2.19089023,0.208333333,1.568615918,110.592,1.686865331,0.043402778,-2.263034406,0.441884576,0.195261979,0.664743993,-0.340620619
17.8,0.347105067,10.9,4486,4.15,10.3,1557.113332,1.440486029,3.575182193,3.783445233,48897.4,45.235,112.27,18616.9,46205.8,42.745,8.3,0.919078092,68.89,2.880972058,0.120481928,2.116255515,571.787,2.024693852,0.014515895,-3.053111336,0.327534731,0.107279,0.572306501,-0.459539046
20.2,0.355784033,10.7,4547.34,5.08,10.1,1617.870967,1.80738289,3.593418738,3.806889158,48656.538,54.356,108.07,23100.4872,45928.134,51.308,7.9,0.897627091,62.41,2.810693865,0.126582278,2.066862759,493.039,1.991631701,0.016023073,-2.981852653,0.335361977,0.112467655,0.579104461,-0.448813546
