SuiRate,Unemp,Vet,Arrest,Mental,Disable,Uninsured,Poverty,uxa,uxm,uxd,uxv,uxu,vxa,vxm,vxd,vxu,axm,axd,axu,mxd,mxu,dxu,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp14
14.6,0.362738125,11,3936,4.38,14.5,15.8,18.3,1427.73726,1.588792988,5.259702813,3.990119376,5.731262376,43296,48.18,159.5,173.8,17239.68,57072,62188.8,63.51,69.204,229.1,7.6,0.880813592,57.76,2.75680975,0.131578947,2.028148247,438.976,1.966095145,0.017313019,-2.925999419,0.341763568,0.116802336,0.58460548,-0.440406796
15.6,0.39223227,10.7,3758,4.31,14.8,13.6,18.6,1474.008872,1.690521085,5.8050376,4.196885292,5.334358876,40210.6,46.117,158.36,145.52,16196.98,55618.4,51108.8,63.788,58.616,201.28,6.5,0.812913357,42.25,2.549509757,0.153846154,1.871802177,274.625,1.866255578,0.023668639,-2.700439718,0.370310062,0.137129542,0.608531069,-0.406456678
15.1,0.40824829,10.3,3699,4.08,14.8,10.9,16.6,1510.110426,1.665653025,6.042074699,4.204957392,4.449906366,38099.7,42.024,152.44,112.27,15091.92,54745.2,40319.1,60.384,44.472,161.32,6,0.77815125,36,2.449489743,0.166666667,1.791759469,216,1.817120593,0.027777778,-2.584962501,0.386852807,0.149655094,0.621974925,-0.389075625
16.4,0.447213595,10.1,3301.32,3.98,15.2,10,15.3,1476.395187,1.77991011,6.797646652,4.516857315,4.472135955,33343.332,40.198,153.52,101,13139.2536,50180.064,33013.2,60.496,39.8,152,5,0.698970004,25,2.236067977,0.2,1.609437912,125,1.709975947,0.04,-2.321928095,0.430676558,0.185482298,0.65625952,-0.349485002
19.9,0.482242822,9.8,3918,4.76,14.8,11,14.3,1889.427377,2.295475834,7.137193768,4.725979657,5.304671044,38396.4,46.648,145.04,107.8,18649.68,57986.4,43098,70.448,52.36,162.8,4.3,0.633468456,18.49,2.073644135,0.23255814,1.458615023,79.507,1.626133332,0.054083288,-2.10433666,0.475209133,0.22582372,0.689354142,-0.316734228
15.5,0.461265604,11.8,4226,3.85,11.7,11.9,14.4,1949.308443,1.775872575,5.396807567,5.442934127,5.489060688,49866.8,45.43,138.06,140.42,16270.1,49444.2,50289.4,45.045,45.815,139.23,4.7,0.672097858,22.09,2.167948339,0.212765957,1.547562509,103.823,1.675068684,0.045269353,-2.232660757,0.44789608,0.200610898,0.669250386,-0.336048929
16.9,0.482242822,11.4,4728.76,4.44,12,11.5,13.9,2280.410568,2.14115813,5.786913866,5.497568173,5.545792455,53907.864,50.616,136.8,131.1,20995.6944,56745.12,54380.74,53.28,51.06,138,4.3,0.633468456,18.49,2.073644135,0.23255814,1.458615023,79.507,1.626133332,0.054083288,-2.10433666,0.475209133,0.22582372,0.689354142,-0.316734228
17.4,0.512989176,11,4511,3.57,13.1,11.3,13.4,2314.094173,1.831371358,6.720158206,5.642880936,5.796777689,49621,39.27,144.1,124.3,16104.27,59094.1,50974.3,46.767,40.341,148.03,3.8,0.579783597,14.44,1.949358869,0.263157895,1.335001067,54.872,1.560490751,0.069252078,-1.925999419,0.519210956,0.269580017,0.720562944,-0.289891798
16.5,0.542326145,10.6,4644,3.95,12.1,9.8,14.2,2518.562615,2.142188271,6.562146349,5.748657132,5.314796217,49226.4,41.87,128.26,103.88,18343.8,56192.4,45511.2,47.795,38.71,118.58,3.4,0.531478917,11.56,1.843908891,0.294117647,1.223775432,39.304,1.503694596,0.08650519,-1.765534746,0.566400634,0.320809678,0.75259593,-0.265739459
20,0.567961834,10.1,6079,4.13,12,10.2,13.7,3452.63999,2.345682375,6.815542011,5.736414526,5.793210709,61397.9,41.713,121.2,103.02,25106.27,72948,62005.8,49.56,42.126,122.4,3.1,0.491361694,9.61,1.760681686,0.322580645,1.131402111,29.791,1.458099736,0.104058273,-1.632268215,0.612644411,0.375333175,0.782716048,-0.245680847
